0xb77061d2: W 0xbfd5452c  4 0xb77061d7
0xb7709c80: W 0xbfd54528  4          0
0xb7709c83: W 0xbfd54524  4          0
0xb7709c84: W 0xbfd54520  4          0
0xb7709c85: W 0xbfd5451c  4          0
0xb7709c89: W 0xbfd544bc  4 0xb7709c8e
0xb771dbab: R 0xbfd544bc  4 0xb7709c8e
0xb771dbae: R 0xbfd544bc  4 0xb7709c8e
0xb7709c94: W 0xbfd544e0  4 0xbfd54530
0xb7709c99: W 0xb7725e78  4 0x601912cf
0xb7709c9f: R 0xb7725f1c  4        0xe
0xb7709cab: W 0xb7725e7c  4      0x39b
0xb7709cb3: R 0xb7725ff4  4    0x20f1c
0xb7709cb9: W 0xb7726544  4 0xb7725f1c
0xb7709cc1: W 0xb772653c  4 0xb7705000
0xb7709d0a: W 0xb7726594  4 0xb7725f1c
0xb7709d18: R 0xb7725f24  4        0x4
0xb7709d0a: W 0xb772656c  4 0xb7725f24
0xb7709d18: R 0xb7725f2c  4 0x6ffffef5
0xb770a0af: W 0xb7726688  4 0xb7725f2c
0xb7709d18: R 0xb7725f34  4        0x5
0xb7709d0a: W 0xb7726570  4 0xb7725f34
0xb7709d18: R 0xb7725f3c  4        0x6
0xb7709d0a: W 0xb7726574  4 0xb7725f3c
0xb7709d18: R 0xb7725f44  4        0xa
0xb7709d0a: W 0xb7726584  4 0xb7725f44
0xb7709d18: R 0xb7725f4c  4        0xb
0xb7709d0a: W 0xb7726588  4 0xb7725f4c
0xb7709d18: R 0xb7725f54  4        0x3
0xb7709d0a: W 0xb7726568  4 0xb7725f54
0xb7709d18: R 0xb7725f5c  4        0x2
0xb7709d0a: W 0xb7726564  4 0xb7725f5c
0xb7709d18: R 0xb7725f64  4       0x14
0xb7709d0a: W 0xb77265ac  4 0xb7725f64
0xb7709d18: R 0xb7725f6c  4       0x17
0xb7709d0a: W 0xb77265b8  4 0xb7725f6c
0xb7709d18: R 0xb7725f74  4       0x11
0xb7709d0a: W 0xb77265a0  4 0xb7725f74
0xb7709d18: R 0xb7725f7c  4       0x12
0xb7709d0a: W 0xb77265a4  4 0xb7725f7c
0xb7709d18: R 0xb7725f84  4       0x13
0xb7709d0a: W 0xb77265a8  4 0xb7725f84
0xb7709d18: R 0xb7725f8c  4 0x6ffffffc
0xb7709cef: W 0xb77265f0  4 0xb7725f8c
0xb7709cfd: R 0xb7725f94  4 0x6ffffffd
0xb7709cef: W 0xb77265ec  4 0xb7725f94
0xb7709cfd: R 0xb7725f9c  4 0x6ffffff0
0xb7709cef: W 0xb7726620  4 0xb7725f9c
0xb7709cfd: R 0xb7725fa4  4 0x6ffffffa
0xb7709cef: W 0xb77265f8  4 0xb7725fa4
0xb7709cfd: R 0xb7725fac  4          0
0xb7709d20: R 0xb772653c  4 0xb7705000
0xb7709d2a: R 0xb772656c  4 0xb7725f24
0xb7709d34: R 0xb7725f28  4      0x138
0xb7709d34: W 0xb7725f28  4 0xb7705138
0xb7709d37: R 0xb7726568  4 0xb7725f54
0xb7709d41: R 0xb7725f58  4    0x20ff4
0xb7709d41: W 0xb7725f58  4 0xb7725ff4
0xb7709d44: R 0xb7726570  4 0xb7725f34
0xb7709d4e: R 0xb7725f38  4      0x494
0xb7709d4e: W 0xb7725f38  4 0xb7705494
